ID,SPEAKER,CONVERSATION,,CATALAN,FRENCH,GERMAN,SPANISH,PTBR,RUSSIAN,JAPANESE,KOREAN,CHINESE (SIMPLIFIED),CHINESE (TRADITIONAL)
367,Dr. Heinrich,Log Console 1,,No puc entendre com una cosa que causa tanta devastació...,Je ne comprends pas comment des engins aussi dévastateurs,"Ich verstehe nicht, wie etwas, das so viel Zerstörung verursacht,",No logro entender cómo algo que causa tal devastación,Não entendo como algo com um efeito tão devastador,"Неужели ""общегалактическая безопасность"" оправдывает",「銀河の安全」という大義のもとなら、,그렇게나 강력한 무기가 왜 필요한지 이해할 수 없다.,我不明白为什么能够造成,我不明白為什麼能夠造成
368,Dr. Heinrich,Log Console 1,,Es podria desenvolupar en nom de la «seguretat galàctica».,"pourraient être créés au nom de la ""sécurité galactique"".","im Namen der ""galaktischen Sicherheit"" erschaffen werden konnte.",puede crearse en nombre de la «seguridad galáctica».,"possa ser criado em nome da ""segurança da galáxia"".","столь ужасные разрушения, столь нечеловеческую жестокость?",これほどの破壊も許されるというのか？,은하계의 안전을 위하여'라고 써두고 만들 수는 있겠지.,"如此大破坏性的东西会被以""星系安全""的名义造出来。","如此大破壞性的東西會被以""星系安全""的名義造出來。"
369,Dr. Heinrich,Log Console 1,,Per no mencionar... el personal de seguretat.,Et je ne parle même pas... des agents de sécurité.,Ganz zu schweigen vom ... Sicherheitspersonal.,Por no mencionar... al personal de seguridad.,Isso sem falar na... Equipe de Segurança.,И эти охранники...,それとあの...セキュリティ部のやつら。,보안 요원은... 말할 것도 없다.,更别提...安保人员了。,更別提...警衛了。
370,Dr. Heinrich,Log Console 1,,Em fan sentir com si fos un altre cop a l'acadèmia.,"J'ai l'impression d'être revenu à l'Académie, quand je mangeais seul","Wegen diesen Leuten fühle ich mich, als wäre ich wieder an der Akademie","Me hacen sentir como si estuviera otra vez en la academia,","Eu me sinto como se estivesse de volta à época da Academia,",Я снова чувствую себя студентом.,アカデミーにいた頃を思い出す。,놈들 때문에 마치 학창 시절로 돌아간 기분이다.,他们让我觉得好像回到了学院里，,他們讓我覺得好像回到了學院裡，
371,Dr. Heinrich,Log Console 1,,Menjant pel meu compte el dinar mentre es riuen de mi.,dans mon coin pendant que tout le monde se moquait de moi.,"und würde alleine zu Mittag essen, während sie Scherze auf meine Kosten machen.",comiendo solo mientras hacen bromas a mi costa.,comendo sozinho no almoço enquanto fazem piadas às minhas custas.,"Я ем один, в углу, пока они отпускают в мой адрес одну глупую шутку за другой.",ひとりで飯を食うわたしを、 皆が笑っていた。,내가 혼자 점심을 먹는 걸 가지고 놀려대니 말이다.,只能一个人孤零零地吃饭，所有人都在开我玩笑。,只能一個人孤零零地吃飯，所有人都在開我玩笑。
372,Dr. Heinrich,Log Console 1,,Per sort el meu contracte s'acaba d'aquí a un any.,"Heureusement, mon contrat se termine dans un an.","Nur gut, dass mein Vertrag hier nur noch ein Jahr läuft.","Por suerte, mi contrato solo dura un año más.","Felizmente, meu contrato aqui acaba dentro de um ano.","Но ничего, через год мой контракт закончится.",幸い、契約はあと1年で切れる。,"다행히도, 1년만 더 지내면 내 계약도 끝난다.",还好，我的合同再有一年就到期了。,還好，我的合約再一年就到期了。
373,Dr. Heinrich,Log Console 1,,Desitjo que amb diligència el temps se'm passi més de pressa.,J'espère trouver le temps moins long en me concentrant sur mes recherches.,"Ich hoffe, mein Fleiß wird helfen, die Zeit schnell vergehen zu lassen.",Espero que la diligencia me ayude a que el tiempo pase más deprisa.,Espero que minha diligência ajude a passar o tempo mais depressa.,"Будем надеяться, время пролетит незаметно.",今はその日を待ちわびながら、黙って 職務をこなすとしよう。,부디 내 근면함이 시간이 빨리 지나가는 데 도움을 됐으면 좋겠다.,希望我努力工作时，日子能过得快一点。,希望我努力工作時，日子能過得快一點。
374,Dr. Heinrich,Log Console 2,,"Registre del laboratori del Dr. Heinrich, dia 637.","Journal scientifique du Dr Heinrich, jour 637.","Labor-Logbuch von Dr. Heinrich, Tag 637.","Diario del laboratorio del Dr. Heinrich, día 637.","Registro do Laboratório do Dr. Heinrich, dia 637.","Рабочий журнал доктора Хайнриха, день 637.",ハインリッヒ博士の研究日誌、637日目。,"하인리히 박사의 실험실 일지, 637일째.",海恩里希博士的实验室日志，第637天。,海恩里希博士的實驗室日誌，第637天。
375,Dr. Heinrich,Log Console 2,,Les armes robòtiques de defensa que he desenvolupat són...,Les armes de défense robotisée que j'ai développées sont...,"Die Roboter-Verteidigungswaffen, die ich entwickle, sind ...",Las armas de defensa robótica que he estado desarrollando son...,As Armas de Defesa Robótica que estou desenvolvendo são...,"Я знаю, мои Средства Механической Обороны чудовищны и негуманны, но...",わたしが造っている ロボット防衛兵器は...,내가 개발해온 로봇형 방어 무기는...,我正在开发的机械防卫武器简直...,我正在開發的機械防衛武器簡直...
376,Dr. Heinrich,Log Console 2,,Terrorífiques.,terrifiantes.,furchterregend.,terroríficas.,aterrorizantes.,но я горжусь ими.,恐ろしいものだ。,정말이지 무시무시하다.,太恐怖了。,太恐怖了。
377,Dr. Heinrich,Log Console 2,,Dit això no puc evitar sentir una mena d'orgull.,"Cela dit, je ne peux pas m'empêcher de ressentir une certaine fierté.","Doch ich kann nicht umhin, Stolz zu verspüren.","Dicho esto, no dejo de sentir cierto orgullo.","No entanto, não consigo deixar de me orgulhar.","Гордость переполняет меня, когда я на них смотрю.",その一方で、誇りにも思う。,"솔직히 말해서, 나 스스로가 이런 걸 만들었다는 게 대단하다고 생각된다.",话虽如此，我仍然不可避免地感到一丝骄傲。,話雖如此，我仍然不可避免地感到一絲驕傲。
378,Dr. Heinrich,Log Console 2,,Realment sóc un enginyer excel·lent. Tot i això...,"Je suis un ingénieur de génie. Malgré tout,",Ich bin wirklich ein ausgezeichneter Ingenieur. Und trotzdem,"La verdad es que soy un ingeniero excelente. A pesar de eso,","Realmente sou um excelente engenheiro. Contudo,",Я - блестящий инженер. И все же,わたしは真に優れた科学者だとな。 それなのに...,"나는 정말 훌륭한 기술자다. 그럼에도 불구하고,",我的确是名优秀的工程师。但仅管如此，,我的確是名優秀的工程師。但僅管如此，
379,Dr. Heinrich,Log Console 2,,Tenen la barra d'enviar-me a MI en comptes de als de manteniment...,c'est toujours MOI qu'ils envoient réparer ce maudit,schicken sie nach wie vor MICH anstelle der Wartungsmannschaft,"siguen enviándome A MÍ, en lugar de al equipo de mantenimiento,",eles insistem em me enviar no lugar da equipe de manutenção,"именно меня, МЕНЯ, а не ремонтников,",あいつらは整備係ではなく、 このわたしを...,그들은 이 고장 난 히터 코어를 수리하는데,他们还是派了我，而不是维修小组,他們還是派了我，而不是維修小組
380,Dr. Heinrich,Log Console 2,,A reparar aquest escalfador.,module de chauffage à la place des agents d'entretien.,zur Reparatur dieses fehlerhaften Wärmetauschers.,cuando hay que reparar las averías del núcleo calefactor.,para consertar o Núcleo de Calefação defeituoso.,"послали посмотреть, что там сломалось в Нагревательном ядре.",加熱炉の修理に送り込んだ。,정비사 대신 나를 보낸다.,来修理这个故障了的加热核心。,來修理這個故障了的加熱核心。
381,Dr. Heinrich,Log Console 2,,"Humiliant, posar-me per sota del meu nivell professional.",Je vaux tellement mieux que ça.,Das liegt demütigend weit unter meiner Gehaltsstufe.,Una humillación por debajo de mi categoría profesional.,Esse tipo de tarefa é degradante para mim.,До унизительного примитивная работа.,屈辱的なしうちだ。,내 수준에 안 맞는 굴욕적인 일이다.,让我干这种低三下四的活。,讓我做這種卑賤的活。
382,Dr. Heinrich,Log Console 2,,I parlant d'això...,D'ailleurs...,Apropos ...,Por cierto...,Falando nisso...,"К слову, о примитивном...",そういえば...,그러고 보니...,说起来...,說起來...
383,Dr. Heinrich,Log Console 2,,L'altre dia van deixar un gos molt bufó al meu laboratori.,"Ils m'ont amené un chien très mignon, l'autre jour.",Sie haben neulich einen sehr niedlichen Hund in meinem Labor abgeliefert.,El otro día dejaron en mi laboratorio un perro encantador.,Outro dia eles deixaram um adorável cãozinho no meu laboratório.,На днях мне принесли очень милого щеночка.,こないだやつらが、かわいい犬を ラボへ置いていった。,그들이 얼마 전에 아주 멋진 개 한 마리를 내 연구실로 보냈다.,他们有一天往我的实验室里丢来一只好可爱的小狗狗。,他們有一天往我的實驗室裡丟來一隻好可愛的小狗狗。
384,Dr. Heinrich,Log Console 2,,Deien que era defectuós i em van demanar que el convertís en una de les meves...,"D'après eux, il serait ""défaillant"" et ils m'ont dit de le transformer","Sie sagten, er sei fehlerhaft, und trugen mir auf, eine meiner ...",Dijeron que estaba defectuoso y que hiciera unas de mis...,Disseram que ele está com defeito e que eu poderia...,"Сказали, что он дефективный, так что из него можно сделать...",欠陥品だから、わが研究に役立て...,이 개더러 결함이 있다며 내...,说他天生缺陷，让我把他改造成...,說他天生缺陷，讓我把他改造成...
385,Dr. Heinrich,Log Console 2,,«Creacions monstruoses». O alguna cosa semblant.,"en une de mes ""créatures de foire"". Ou quelque chose dans ce style.",verrückten Kreationen aus ihm zu machen. Oder so etwas in der Art.,creaciones monstruosas con él. O algo por el estilo.,"""Usá-lo para criar uma de minhas aberrações"". Ou algo assim.",Странную Тварь. Или что-нибудь эдакое.,例のバケモノに変えてしまえと 言ってな。うろ覚えだが。,괴랄한 창조물'로 만들라고 하더군. 아니면 그 비슷한 걸로 말이다.,"我的某个""疯狂造物""。或其他什么怪物。","我的某個""瘋狂造物""。或其他什麼怪物。"
386,Dr. Heinrich,Log Console 2,,"Una pobre criatura mal entesa, com jo.","Alors qu'il ne s'agit que d'une créature incomprise, un peu comme moi.","Eine missverstandene Kreatur, so wie ich.","Una criatura incomprendida, no muy distinta a mí.","É uma criatura incompreendida, assim como eu.","Несчастное создание обречено страдать в силу своей природы, как и я.",この犬もまた、わたしと同じく 誤解されている。,"오해받는 창조물이라니, 나와 크게 다르지 않다.",他只是个被误解的小生灵，跟我别无二致。,他只是個被誤解的小生命，跟我沒差別。
387,Dr. Heinrich,Log Console 2,,És fàcilment més intel·ligent que la majoria dels meus companys.,Il est bien plus intelligent que la plupart de mes collègues.,Er ist sicher intelligenter als die meisten meiner Kollegen.,"Es, con diferencia, más inteligente que la mayoría de mis colegas.",Ele é claramente mais esperto que muitos de meus colegas.,А ведь он умнее большинства людей вокруг меня.,あいつらよりも、はるかに賢いと いうのに...,이 개는 대부분의 내 동료들보다 더 똑똑하다.,他天资聪颖，智商轻而易举就超越了我大部分同事。,他天資聰穎，智商輕而易舉就超越了我大部分同事。
388,Dr. Heinrich,Log Console 2,,"Sembla que li agrado a aquest gosset, però encara no li he posat cap nom.",J'ai l'impression que le chien m'aime bien. Il faut que je lui trouve un nom.,Der Hund scheint mich zu mögen. Ich muss ihm noch einen Namen geben.,Parece que le caigo bien al perro. Todavía no le he puesto nombre.,O cachorro parece gostar de mim. Ainda preciso escolher um nome para ele.,"По-моему, я ему нравлюсь. Как бы его назвать...",犬はわたしのことが好きらしい。 まだ名前はつけていないが...,개는 나를 좋아하는 모양이다. 아직 이름을 지어주진 못했다.,这狗狗好像喜欢我。我还没给他起名字。,這狗狗好像喜歡我。我還沒給他起名字。
389,Barkley,Log Console 2,,Bub! Bub!,Ouaf ! Ouaf !,Wuff! Wuff!,¡Ruf! ¡Ruf!,Ralf! Ralf!,Тяф! Тяф!,バウ！バウ！,멍! 뭉!,汪！汪！,汪！汪！
390,Dr. Heinrich,Log Console 2,,Hmm....,Hmm...,Hmm ...,Mmm...,Hummm...,Хм-м-м...,ふむ...,흠....,唔...,嗯...
391,Dr. Heinrich,Log Console 3,,"Registre del laboratori del Dr. Heinrich, dia 642.","Journal scientifique du Dr Heinrich, jour 642.","Labor-Logbuch von Dr. Heinrich, Tag 642.","Diario del laboratorio del Dr. Heinrich, día 642.","Registro do Laboratório do Dr. Heinrich, dia 642.","Рабочий журнал доктора Хайнриха, день 642.",ハインリッヒ博士の研究日誌、642日目。,"하인리히 박사의 실험실 일지, 642일째.",海恩里希博士的实验室日志，第642天。,海恩里希博士的實驗室日誌，第642天。
